name,foods,price,img_url
肉酥油条饭团+茶叶蛋+饮品随心换,"肉酥油条饭团1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",14.5,https://img.4008823823.com.cn/kfcios/Version/744_948284.jpg
金沙咸蛋黄肉酥饭团+油条+饮品随心换,"金沙咸蛋黄肉酥饭团1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",11.5,https://img.4008823823.com.cn/kfcios/Version/762_991377.jpg
肉酥油条饭团+油条+饮品随心换,"肉酥油条饭团1份+配餐1份+早餐饮品1杯（可加价换购）
省是指比菜单单品总价省的金额
产品及包装以实物为准",7.5,https://img.4008823823.com.cn/kfcios/Version/762_991266.jpg
金沙咸蛋黄肉酥饭团+饮品随心换,金沙咸蛋黄肉酥饭团1个+早餐饮品1杯(可加价换购)<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,12.5,https://img.4008823823.com.cn/kfcios/Version/744_934729.jpg
肉酥油条饭团+饮品随心换,肉酥油条饭团1个+早餐饮品1杯(可加价换购)<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,8.5,https://img.4008823823.com.cn/kfcios/Version/751_955313.jpg
DB金沙咸蛋黄肉酥饭团,整夜浸米，每天清晨现做，12到手工，8种好料，鲜香流油，绵密起沙。<br>主要原料:糯米、猪肉酥、油条脆、咸蛋黄蓉、黄瓜段、萝卜干末、熟黑芝麻<br>产品及包装以实物为准。,15.5,https://img.4008823823.com.cn/kfcios/Version/604_583287.jpg
肉酥油条饭团,整夜浸米，每天清晨现做，12到手工，8种好料，油条脆，肉酥鲜，成就每一个饭团。<br>主要原料:糯米，猪肉酥，油条脆，萝卜干，黑芝麻<br>产品及包装以实物为准。,11.5,https://img.4008823823.com.cn/kfcios/Version/604_582156.jpg
大饼卷鸡扒蛋+茶叶蛋+饮品随心换,"大饼卷鸡扒蛋1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",20.5,https://img.4008823823.com.cn/kfcios/Version/744_951340.jpg
大饼卷卤肉丝+茶叶蛋+饮品随心换,"大饼卷卤肉丝1份+九龙金玉茶叶蛋1只+早餐饮品1杯（可加价换购）
产品及包装以实物为准",18.5,https://img.4008823823.com.cn/kfcios/Version/744_951339.jpg
大饼卷鸡扒蛋+油条+饮品随心换,大饼卷鸡扒蛋1份+配餐1份+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,13.5,https://img.4008823823.com.cn/kfcios/Version/751_957219.jpg
大饼卷卤肉丝+油条+饮品随心换,大饼卷卤肉丝1份+配餐1份+早餐饮品1杯（可加价换购）<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准,11.5,https://img.4008823823.com.cn/kfcios/Version/717_862581.jpg
大饼卷香烤鸡扒蛋+饮品随心换,"大饼卷香烤鸡扒蛋1个+饮品1杯(可加价换购)
<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。",14.5,https://img.4008823823.com.cn/kfcios/Version/751_956953.jpg
大饼卷京酱卤肉丝+饮品随心换,大饼卷京酱卤肉丝1个+饮品1杯(可加价换购)<br>省是指比菜单单品总价省的金额<br>产品及包装以实物为准。,12.5,https://img.4008823823.com.cn/kfcios/Version/751_956956.jpg
